ID,Name,CAS,SMILES
TMS0879,Asiaticoside B,125265-68-1,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)[C@@]45CC[C@@]6(C(=CC[C@H]7[C@]6(C[C@H]([C@@H]8[C@@]7(C[C@H]([C@@H]([C@@]8(C)CO)O)O)C)O)C)[C@@H]4CC(CC5)(C)C)C)O)O)O)CO)O)O)O
TMS0719,Sequoyitol,523-92-2,CO[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O
TMS0418,Dihydroergotoxine mesylate,8067-24-1,CS(O)(=O)=O.CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@@H]3C[C@H]4[C@@H](Cc5c[nH]c6cccc4c56)N(C)C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C.CCC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@@H]3C[C@H]4[C@@H](Cc5c[nH]c6cccc4c56)N(C)C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C.CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@@H]3C[C@H]4[C@@H](Cc5c[nH]c6cccc4c56)N(C)C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C.CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
TMM2618,Gibberllin A7,510-75-8,C[C@]12[C@H]3[C@H](C(O)=O)[C@@]45C[C@@H](CC[C@H]4[C@@]3(CC[C@@H]1O)OC2=O)C(=C)C5.C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45C[C@@H](CC[C@H]4[C@]3(OC1=O)C=C[C@@H]2O)C(=C)C5
TMA1603,Parishin C,174972-80-6,OC[C@H]1O[C@@H](Oc2ccc(COC(=O)CC(O)(CC(=O)OCc3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(O)=O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
TMA0958,Arenarioside,94130-58-2,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)\C=C\c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O
TMA0835,Deapi-platycodin D3,67884-05-3,[H][C@@]12CC(C)(C)CC[C@@]1([C@H](O)C[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)C[C@H](O)[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C(CO)(CO)[C@]3([H])CC[C@@]12C)C(=O)O[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
TL0015,Pyromeconic acid,496-63-9,Oc1coccc1=O
TL0010,CONIFERYL ALCOHOL,458-35-5,COc1cc(\C=C\CO)ccc1O
TL0009,coniferin,531-29-3,COc1cc(\C=C\CO)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
TL0008,Gigantol,67884-30-4,COc1cc(O)cc(CCc2ccc(OC)c(O)c2)c1
TL0007,Bisdemethoxycurcumin,24939-16-0,Oc1ccc(cc1)\C=C\C(=O)CC(=O)\C=C\c1ccc(O)cc1
TL0006,Chicoric Acid,6537-80-0,OC(=O)[C@H](OC(=O)\C=C\c1ccc(O)c(O)c1)[C@@H](OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O
TL0004,FERULIC ACID METHYL ESTER,2309-07-1,Oc1ccc(cc1OC)/C=C/C(=O)OC
TL0003,ALPHA-PINENE,2437-95-8,CC1=CCC2CC1C2(C)C
TL0002,Liquiritin apioside,74639-14-8,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@](CO5)(CO)O)O
TL0001,dencichine,5302-45-4,C([C@@H](C(=O)O)N)NC(=O)C(=O)O
TJS2190,Nordihydroguaiaretic acid,500-38-9,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
TJS1183,Cyclen,294-90-6,C1CNCCNCCNCCN1
TJS1159,Chrysosptertin B,603-56-5,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O
TJS0851,Plantagoside,78708-33-5,OC[C@H]1O[C@@H](Oc2cc(cc(O)c2O)[C@@H]2CC(=O)c3c(O)cc(O)cc3O2)[C@H](O)[C@@H](O)[C@@H]1O
TJS0405,Lucidin,478-08-0,OCc1c(O)cc2C(=O)c3ccccc3C(=O)c2c1O
TJS0387,Deoxyrhapontin,30197-14-9,COc1ccc(\C=C\c2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1
TJS0368,"7,8-Dihydroxy-4-phenylcoumarin",842-01-3,Oc1ccc2c(cc(=O)oc2c1O)-c1ccccc1
TJS0341,7-Amino-4-(trifluoromethyl)coumarin,53518-15-3,C1=CC2=C(C=C1N)OC(=O)C=C2C(F)(F)F
TJS0338,4-Methylesculetin,529-84-0,CC1=CC(=O)OC2=CC(=C(C=C12)O)O
TJS0318,6-Hydroxy-4-methylcoumarin,2373-31-1,CC1=CC(=O)OC2=C1C=C(C=C2)O
TJS0315,"7,8-Dihydroxy-4-methylcoumarin",2107-77-9,CC1=CC(=O)OC2=C1C=CC(=C2O)O
TJS0314,4-Methyllimetol,2107-76-8,CC1=CC(=O)OC2=CC(=CC(=C12)O)O
TJS0312,7-hydroxy-4-methyl-8-nitrocoumarin,19037-69-5,CC1=CC(=O)OC2=C1C=CC(=C2[N+](=O)[O-])O
TJS0311,Ethyl coumarin-3-carboxylate,1846-76-0,CCOC(=O)C1=CC2=CC=CC=C2OC1=O
TJS0161,¦Â-Eudesmol ,51317-08-9,CC(C)(O)[C@@H]1CC[C@@]2(C)CCC[C@@H](C)[C@@H]2C1
TJP2891,Maltopentaose,34620-76-3,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)OC(O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
TJP2872,Acevaltrate,25161-41-5,CC(C)CC(=O)O[C@@H]1OC=C(COC(C)=O)C2=C[C@H](OC(=O)CC(C)(C)OC(C)=O)[C@]3(CO3)[C@@H]12
THS1455,DihydroarteMisinic acid,85031-59-0,C[C@H]([C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@H]12)C(O)=O
TCS2170,2-5-dihydroxyacetophenone,490-78-8,CC(=O)C1=C(C=CC(=C1)O)O
TCS2070,Homogentisic acid,451-13-8,C1=CC(=C(C=C1O)CC(=O)O)O
TCS1857,Phenylacetaldehyde,122-78-1,C1=CC=C(C=C1)CC=O
TCS1856,2'-Hydroxyacetophenone,118-93-4,CC(=O)C1=CC=CC=C1O
TCS1772,Dehydroabietic acid,1740-19-8,CC(C)c1ccc2c(CC[C@H]3[C@@](C)(CCC[C@]23C)C(O)=O)c1
TCS1709,BENZYLACETONE,2550-26-7,CC(=O)CCC1=CC=CC=C1
TCS1704,Artemetin,479-90-3,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)OC
TCS1554,trans-Benzylideneacetone,1896-62-4,CC(=O)\C=C\c1ccccc1
TCS0862,4-Methoxybenzoic acid,100-09-4,COC1=CC=C(C=C1)C(=O)O
TCS0324,2-Pentylfuran,3777-69-3,CCCCCC1=CC=CO1
TCS0102,Pulegone,89-82-7,C[C@@H]1CC\C(=C(/C)C)C(=O)C1
TCP2934,5-Methyl-2-furaldehyde,620-02-0,CC1=CC=C(O1)C=O
TCP2830,Neryl acetate,141-12-8,CC(=O)OC\C=C(\C)CC\C=C(\C)C
TC0042,Quercetin-3-O-vicianoside,13241-30-0,O=c1c(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
TC0041,Vincanidine,N105-0131,C/C=C1\CN2CCC34C(=C(C=O)C1CC23)Nc1c(O)cccc14
TC0040,7-O-acetyldaphnoretin,17064-09-4,COc1cc2cc(Oc3ccc4ccc(=O)oc4c3)c(=O)oc2cc1OC(C)=O
TC0039,Vasicinone,486-64-6,O=c1c2ccccc2nc2n1CCC2O
TC0038,Dubinidine,22964-77-8,COc1c2c(nc3ccccc13)OC(C(C)(O)CO)C2
TC0037,colchiceine,477-27-0,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2
TC0036,Lup-20(29)-en-3-yl acetate,N066-0054,C=C(C)C1CCC2(C)CC[C@]3(C)C(CCC4[C@@]5(C)CCC(OC(C)=O)C(C)(C)C5CC[C@]43C)C12
TC0035,Karakoline,N060-0118,CCN1C[C@]2(C)CC[C@H](O)[C@@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6O)[C@@H](CC32)[C@@H]14
TC0034,Olgoferin,41989-31-5,C=C(C)C(=O)OC1CC(C)=C2C(=O)C=C(C)C2C2OC(=O)C(C)(OC(=O)C(=C)C)C12
TC0033,Disenecionyl cis-khellactone,54676-88-9,CC(C)=CC(=O)O[C@@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)C=C(C)C
TC0031,2-Isopropylpsoralen,1215-38-9,CC(C)c1cc2cc3ccc(=O)oc3cc2o1
TC0030,Jatamansinone,2221-67-2,CC1(C)Oc2ccc3ccc(=O)oc3c2CC1=O
TC0029,Peucedanin,133-26-6,COc1c(C(C)C)oc2cc3oc(=O)ccc3cc12
TC0028,Dihydrosamidin,6005-18-1,CC(=O)O[C@@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)CC(C)C
TC0023,Salsoline,89-31-6,COc1cc2c(cc1O)CCNC2C
TC0022,Deoxypeganine,495-59-0,c1ccc2c(c1)CN1CCCC1=N2
TC0021,Bucharaine,21059-47-2,C/C(=C\COc1cc(=O)[nH]c2ccccc12)CCC(O)C(C)(C)O
TC0018,N-Benzoyl-2-hydroxy-2-phenylethylamine,111059-46-2,O=C(NCC(O)c1ccccc1)c1ccccc1
TC0017,Haplopine,5876-17-5,COc1c2ccoc2nc2c(OC)c(O)ccc12
TC0016,Haplamidine,64223-54-7,O=C(/C=C/c1ccccc1)NCCCCNC(=O)c1ccccc1
TC0014,Trachelanthine,510-19-0,CC(C)C(O)(C(=O)OC[C@@H]1CC[N+]2([O-])CCC[C@@H]12)C(C)O
TC0013,(¡À)-Lupinine,10248-30-3,OC[C@@H]1CCCN2CCCCC12
TC0012,Peuarenin,37975-61-4,CC1OC1(C)C(=O)OC1c2cc3ccc(=O)oc3cc2OC(C)(C)C1OC(=O)C1(C)OC1C
TC0010,8-methylquercetin,N025-0038,Cc1c(O)cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc12
TC0009,Calenduloside B,N025-0034,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
TC0006,Coronopolin,2571-81-5,C=C1C(=O)OC2C1CCC(C)C1(O)CCC(=O)C21C
TC0002,"3,12,14-Trihydroxycard-20(22)-enolide",0407-0024,CC12CCC(O)CC1CCC1[C@@H]2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O
TC0001,"3-[(9S)-3,14,16-Trihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one",0407-0023,CC12CCC(O)CC1CCC1[C@@H]2CCC2(C)C(C3=CC(=O)OC3)C(O)CC12O
T9115,Vanillic Acid,121-34-6,Oc1ccc(cc1OC)C(=O)O
T9114,¦Â-Caryophyllene,87-44-5,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
T8479,2-O-cinnamoyl-1-O-galloyl-¦Â-D-glucose,791836-69-6,O=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(=O)/C=C/c1ccccc1)c3cc(O)c(O)c(O)c3
T8429,Salsolidine,63283-42-1,COc1cc2c(cc1OC)C(C)NCC2
T8363,DL-Serine,302-84-1,NC(CO)C(O)=O
T8360,(-)-¦Â-Pinene,18172-67-3,CC1(C)[C@@H]2C[C@H]1C(=C)CC2
T8292,Alpha-Cedrene,469-61-4,C[C@H](CC1)[C@]2(C3)[C@@H]1C(C)(C)[C@@H]3C(C)=CC2
T8279,Isobornyl acetate,125-12-2,CC(C)([C@H](CC1)C2)[C@]1(C)[C@@H]2OC(C)=O
T8276,Methyl palmitoleate,1120-25-8,CCCCCC/C=C\CCCCCCCC(OC)=O
T8275,(+)-Isopulegol,104870-56-6,C[C@@H](CC[C@@H]1C(C)=C)C[C@@H]1O
T8270,Deserpidine,131-01-1,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=CC=CC=C45)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
T8256,piperitone,89-81-6,CC(C)C(CCC(C)=C1)C1=O
T8250,"2,6,6-Trimethyl-2,4-cycloheptadien-1-one",503-93-5,CC(C)(C1)C=CC=C(C)C1=O
T8229,"5,7,3',4'-Tetramethoxyflavone",855-97-0,COc(cc1OC)cc(OC(c(cc2)cc(OC)c2OC)=C2)c1C2=O
T8228,Ethyl chrysanthemumate,97-41-6,CCOC(C1C(C)(C)C1C=C(C)C)=O
T8226,Pherocon (4-(4-Acetoxyphenyl)-2-butanone),3572-06-3,CC(CCc(cc1)ccc1OC(C)=O)=O
T8225,"2-HYDROXY-3,4-DIMETHOXYBENZOIC ACID",5653-46-3,COc(ccc(C(O)=O)c1O)c1OC
T8211,"3',4'-dihydro-3'-hydroxy-Xanthyletin",5993-18-0,CC1(C)Oc2cc(OC(C=C3)=O)c3cc2CC1O
T8208,androsin,531-28-2,CC(c(cc1)cc(OC)c1O[C@@H]([C@@H]([C@H]1O)O)O[C@H](CO)[C@H]1O)=O
T8207,Evolitrine,523-66-0,COc1ccc2c(OC)c(cco3)c3nc2c1
T8206,Cycleanine,518-94-5,[H][C@]12Cc3ccc(Oc4c(OC)c(OC)cc5CCN(C)[C@]([H])(Cc6ccc(Oc7c(OC)c(OC)cc(CCN1C)c27)cc6)c45)cc3
T8205,Norwogonin,4443-09-8,Oc(c1c2OC(c3ccccc3)=CC1=O)cc(O)c2O
T8203,Gentianose,25954-44-3,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O
T8202,Kaempferol 3-gentiobioside,22149-35-5,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1OC1=C(c(cc2)ccc2O)Oc(cc(cc2O)O)c2C1=O
T8201,Gambogenic acid,173932-75-7,[H][C@@]12C[C@H]3C=C4C(=O)c5c(O)c(C\C=C(/C)CC\C=C(/C)C)c(O)c(C\C=C(/C)C)c5O[C@@]14[C@@](C\C=C(\C)C(O)=O)(OC2(C)C)C3=O
T8200,Ginkgolide K,153355-70-5,CC1=C2[C@H]([C@@H]([C@@]34[C@@]25C(=O)O[C@@H]3C[C@H]([C@@]46[C@H](C(=O)O[C@H]6O5)O)C(C)(C)C)O)OC1=O
T8198,Visnagin,82-57-5,CC(Oc1cc(occ2)c2c(OC)c11)=CC1=O
T8197,2-?Methoxy-?4-?vinylphenol ,7786-61-0,COc(cc(C=C)cc1)c1O
T8195,Lotusine,6871-67-6,C[N+]1(CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)OC)O)C
T8191,L-(+)-Ergothioneine,497-30-3,C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C([O-])=O
T8188,Podophyllotoxone,477-49-6,COc1cc([C@@H]([C@H]([C@@H]2CO3)C3=O)c(cc3OCOc3c3)c3C2=O)cc(OC)c1OC
T8187,Tetrahydroepiberberine,38853-67-7,COc1cc(CCN2C3Cc4ccc5OCOc5c4C2)c3cc1OC
T8185,Viroallosecurinine,1857-30-3,O=C1O[C@@](C2)([C@@H](CCCC3)N3[C@H]2C=C2)C2=C1
T8184,Fucosterol,17605-67-3,CC(C)/C(/CC[C@@H](C)[C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H]1[C@H]2[C@@](C)(CC[C@@H](C2)O)C2=CC1)=C/C
T8182,Guan-fu base A,1394-48-5,CC(=O)O[C@H]1C[C@@]2(CN3[C@@H]4[C@H]2[C@]5(C1)[C@H]3[C@]6(C([C@H]7[C@H]([C@@H]5[C@]6(C4)CC7=C)O)OC(=O)C)O)C
T8181,Poricoic acid A,137551-38-3,CC(C)C(CC[C@H]([C@@H]([C@@H](C1)O)[C@@](C)(CC=C2[C@@]3(C)CCC(O)=O)[C@]1(C)C2=CC[C@H]3C(C)=C)C(O)=O)=C
T8180,7-Hydroxyisoflavone,13057-72-2,Oc(cc1)cc(OC=C2c3ccccc3)c1C2=O
T8179,Aloeresin D,105317-67-7,C[C@H](CC(Oc1c2c(C)cc(OC)c1[C@@H]([C@@H]([C@H]1O)OC(/C=C/c(cc3)ccc3O)=O)O[C@H](CO)[C@H]1O)=CC2=O)O
T8178,Acegastrodine,64291-41-4,CC(OC[C@H]([C@H]([C@@H]([C@H]1OC(C)=O)OC(C)=O)OC(C)=O)O[C@H]1Oc1ccc(CO)cc1)=O
T8175,Laudanosine,1699-51-0,CN(CCc1c2)C(Cc(cc3)cc(OC)c3OC)c1cc(OC)c2OC
T8174,Saikosaponin F,62687-63-2,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4CC=C6[C@]5(C[C@@H]([C@@]7([C@H]6CC(CC7)(C)C)CO)O)C)C)C)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O
